




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (1920)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
purine ribonucleoside diphosphate catabolic process (GO:0009181)	29	12	4.03	+	2.98	2.60E-04	1.45E-03
purine nucleoside diphosphate catabolic process (GO:0009137)	29	12	4.03	+	2.98	2.60E-04	1.45E-03
glycolytic process (GO:0006096)	29	12	4.03	+	2.98	2.60E-04	1.45E-03
membrane invagination (GO:0010324)	29	12	4.03	+	2.98	2.60E-04	1.45E-03
plasma membrane invagination (GO:0099024)	29	12	4.03	+	2.98	2.60E-04	1.45E-03
pigment biosynthetic process (GO:0046148)	46	19	6.39	+	2.97	4.58E-06	3.78E-05
cell cycle (GO:0007049)	603	249	83.77	+	2.97	7.59E-65	9.97E-63
cellular developmental process (GO:0048869)	1543	637	214.35	+	2.97	1.99E-181	2.93E-178
cell differentiation (GO:0030154)	1541	636	214.07	+	2.97	5.16E-181	6.33E-178
purine nucleoside triphosphate metabolic process (GO:0009144)	63	26	8.75	+	2.97	8.51E-08	8.99E-07
synapse assembly (GO:0007416)	63	26	8.75	+	2.97	8.51E-08	8.98E-07
regulation of protein ubiquitination (GO:0031396)	17	7	2.36	+	2.96	5.36E-03	2.09E-02
wing disc dorsal/ventral pattern formation (GO:0048190)	51	21	7.08	+	2.96	1.55E-06	1.39E-05
intracellular receptor signaling pathway (GO:0030522)	17	7	2.36	+	2.96	5.36E-03	2.09E-02
secondary metabolite biosynthetic process (GO:0044550)	17	7	2.36	+	2.96	5.36E-03	2.09E-02
negative regulation of opsin-mediated signaling pathway (GO:0016059)	17	7	2.36	+	2.96	5.36E-03	2.09E-02
Rab protein signal transduction (GO:0032482)	34	14	4.72	+	2.96	8.60E-05	5.42E-04
actin filament-based movement (GO:0030048)	34	14	4.72	+	2.96	8.60E-05	5.41E-04
adherens junction assembly (GO:0034333)	17	7	2.36	+	2.96	5.36E-03	2.08E-02
adult somatic muscle development (GO:0007527)	17	7	2.36	+	2.96	5.36E-03	2.08E-02
muscle organ development (GO:0007517)	73	30	10.14	+	2.96	9.84E-09	1.16E-07
cell cycle checkpoint signaling (GO:0000075)	56	23	7.78	+	2.96	5.22E-07	5.18E-06
cellular response to light stimulus (GO:0071482)	39	16	5.42	+	2.95	2.86E-05	2.00E-04
response to ketone (GO:1901654)	39	16	5.42	+	2.95	2.86E-05	2.00E-04
positive regulation of synaptic assembly at neuromuscular junction (GO:0045887)	39	16	5.42	+	2.95	2.86E-05	2.00E-04
homologous recombination (GO:0035825)	39	16	5.42	+	2.95	2.86E-05	2.00E-04
ATP biosynthetic process (GO:0006754)	22	9	3.06	+	2.94	1.70E-03	7.84E-03
negative regulation of synapse assembly (GO:0051964)	44	18	6.11	+	2.94	9.58E-06	7.39E-05
aggressive behavior (GO:0002118)	22	9	3.06	+	2.94	1.70E-03	7.83E-03
positive regulation of cell junction assembly (GO:1901890)	44	18	6.11	+	2.94	9.58E-06	7.38E-05
actin polymerization or depolymerization (GO:0008154)	22	9	3.06	+	2.94	1.70E-03	7.83E-03
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	22	9	3.06	+	2.94	1.70E-03	7.82E-03
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	22	9	3.06	+	2.94	1.70E-03	7.82E-03
regulation of ERK1 and ERK2 cascade (GO:0070372)	44	18	6.11	+	2.94	9.58E-06	7.37E-05
hormone-mediated signaling pathway (GO:0009755)	22	9	3.06	+	2.94	1.70E-03	7.81E-03
regulation of chromosome separation (GO:1905818)	22	9	3.06	+	2.94	1.70E-03	7.81E-03
actin filament-based process (GO:0030029)	274	112	38.06	+	2.94	1.06E-28	4.26E-27
regulation of phosphate metabolic process (GO:0019220)	115	47	15.98	+	2.94	8.66E-13	1.45E-11
positive regulation of organelle organization (GO:0010638)	115	47	15.98	+	2.94	8.66E-13	1.45E-11
regulation of phosphorus metabolic process (GO:0051174)	115	47	15.98	+	2.94	8.66E-13	1.44E-11
response to temperature stimulus (GO:0009266)	142	58	19.73	+	2.94	1.92E-15	4.01E-14
positive regulation of cell projection organization (GO:0031346)	76	31	10.56	+	2.94	6.94E-09	8.30E-08
cell-cell junction organization (GO:0045216)	76	31	10.56	+	2.94	6.94E-09	8.29E-08
nuclear chromosome segregation (GO:0098813)	145	59	20.14	+	2.93	1.35E-15	2.84E-14
regulation of Ras protein signal transduction (GO:0046578)	32	13	4.45	+	2.92	1.81E-04	1.05E-03
organelle fission (GO:0048285)	249	101	34.59	+	2.92	1.15E-25	4.02E-24
meiotic spindle organization (GO:0000212)	37	15	5.14	+	2.92	5.99E-05	3.90E-04
signal transduction in response to DNA damage (GO:0042770)	37	15	5.14	+	2.92	5.99E-05	3.90E-04
regulation of cell cycle G2/M phase transition (GO:1902749)	37	15	5.14	+	2.92	5.99E-05	3.89E-04
septate junction assembly (GO:0019991)	37	15	5.14	+	2.92	5.99E-05	3.89E-04
anatomical structure morphogenesis (GO:0009653)	1441	583	200.18	+	2.91	1.99E-158	1.83E-155
regulation of anatomical structure size (GO:0090066)	230	93	31.95	+	2.91	1.33E-23	4.17E-22
response to oxygen levels (GO:0070482)	77	31	10.70	+	2.90	1.01E-08	1.18E-07
endocytosis (GO:0006897)	164	66	22.78	+	2.90	5.40E-17	1.27E-15
negative regulation of cell cycle (GO:0045786)	92	37	12.78	+	2.90	3.98E-10	5.44E-09
regulation of behavior (GO:0050795)	97	39	13.48	+	2.89	1.36E-10	1.91E-09
positive regulation of developmental growth (GO:0048639)	102	41	14.17	+	2.89	4.62E-11	6.80E-10
learning or memory (GO:0007611)	162	65	22.50	+	2.89	1.12E-16	2.56E-15
response to alkaloid (GO:0043279)	25	10	3.47	+	2.88	1.16E-03	5.65E-03
DNA damage checkpoint signaling (GO:0000077)	35	14	4.86	+	2.88	1.25E-04	7.66E-04
pteridine-containing compound metabolic process (GO:0042558)	20	8	2.78	+	2.88	3.63E-03	1.49E-02
cellular response to organic cyclic compound (GO:0071407)	35	14	4.86	+	2.88	1.25E-04	7.65E-04
glycolytic process through glucose-6-phosphate (GO:0061620)	25	10	3.47	+	2.88	1.16E-03	5.65E-03
glycolytic process through fructose-6-phosphate (GO:0061615)	25	10	3.47	+	2.88	1.16E-03	5.64E-03
synaptic vesicle localization (GO:0097479)	25	10	3.47	+	2.88	1.16E-03	5.64E-03
regulation of cellular response to insulin stimulus (GO:1900076)	45	18	6.25	+	2.88	1.39E-05	1.05E-04
regulation of meiotic cell cycle (GO:0051445)	20	8	2.78	+	2.88	3.63E-03	1.49E-02
glucose catabolic process (GO:0006007)	25	10	3.47	+	2.88	1.16E-03	5.64E-03
regulation of mitotic metaphase/anaphase transition (GO:0030071)	25	10	3.47	+	2.88	1.16E-03	5.63E-03
circadian rhythm (GO:0007623)	90	36	12.50	+	2.88	8.19E-10	1.07E-08
extracellular matrix assembly (GO:0085029)	20	8	2.78	+	2.88	3.63E-03	1.49E-02
synaptic vesicle recycling (GO:0036465)	40	16	5.56	+	2.88	4.16E-05	2.82E-04
DNA integrity checkpoint signaling (GO:0031570)	40	16	5.56	+	2.88	4.16E-05	2.82E-04
negative regulation of synapse organization (GO:1905809)	45	18	6.25	+	2.88	1.39E-05	1.05E-04
segment specification (GO:0007379)	35	14	4.86	+	2.88	1.25E-04	7.65E-04
mitotic DNA replication (GO:1902969)	15	6	2.08	+	2.88	1.16E-02	4.14E-02
retrotransposon silencing by heterochromatin formation (GO:0141005)	15	6	2.08	+	2.88	1.16E-02	4.14E-02
R7 cell development (GO:0045467)	15	6	2.08	+	2.88	1.16E-02	4.14E-02
protein-DNA complex assembly (GO:0065004)	60	24	8.34	+	2.88	5.32E-07	5.27E-06
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	15	6	2.08	+	2.88	1.16E-02	4.14E-02
amine metabolic process (GO:0009308)	30	12	4.17	+	2.88	3.80E-04	2.02E-03
cholesterol homeostasis (GO:0042632)	15	6	2.08	+	2.88	1.16E-02	4.14E-02
regulation of cytokinesis (GO:0032465)	15	6	2.08	+	2.88	1.16E-02	4.13E-02
chitin-based embryonic cuticle biosynthetic process (GO:0008362)	15	6	2.08	+	2.88	1.16E-02	4.13E-02
positive regulation of post-translational protein modification (GO:1901875)	15	6	2.08	+	2.88	1.16E-02	4.13E-02
melanotic encapsulation of foreign target (GO:0035011)	30	12	4.17	+	2.88	3.80E-04	2.02E-03
organic hydroxy compound catabolic process (GO:1901616)	15	6	2.08	+	2.88	1.16E-02	4.13E-02
pyridine-containing compound catabolic process (GO:0072526)	30	12	4.17	+	2.88	3.80E-04	2.02E-03
positive regulation of DNA replication (GO:0045740)	15	6	2.08	+	2.88	1.16E-02	4.13E-02
pyridine nucleotide catabolic process (GO:0019364)	30	12	4.17	+	2.88	3.80E-04	2.02E-03
regulation of developmental growth (GO:0048638)	233	93	32.37	+	2.87	4.02E-23	1.22E-21
cognition (GO:0050890)	163	65	22.64	+	2.87	1.61E-16	3.63E-15
transcription by RNA polymerase II (GO:0006366)	113	45	15.70	+	2.87	7.73E-12	1.21E-10
negative regulation of developmental growth (GO:0048640)	88	35	12.22	+	2.86	1.68E-09	2.14E-08
regulation of cellular component size (GO:0032535)	166	66	23.06	+	2.86	1.12E-16	2.57E-15
regulation of nuclear division (GO:0051783)	53	21	7.36	+	2.85	3.25E-06	2.79E-05
cell cycle process (GO:0022402)	513	203	71.27	+	2.85	4.60E-49	3.42E-47
rhythmic process (GO:0048511)	91	36	12.64	+	2.85	1.18E-09	1.51E-08
positive regulation of synapse assembly (GO:0051965)	43	17	5.97	+	2.85	2.88E-05	2.01E-04
determination of adult lifespan (GO:0008340)	172	68	23.89	+	2.85	5.46E-17	1.28E-15
negative regulation of synaptic assembly at neuromuscular junction (GO:0045886)	43	17	5.97	+	2.85	2.88E-05	2.01E-04
regulation of cell junction assembly (GO:1901888)	124	49	17.23	+	2.84	1.29E-12	2.12E-11
regulation of cell growth (GO:0001558)	81	32	11.25	+	2.84	1.01E-08	1.19E-07
intracellular signal transduction (GO:0035556)	406	160	56.40	+	2.84	2.28E-38	1.24E-36
establishment or maintenance of apical/basal cell polarity (GO:0035088)	33	13	4.58	+	2.84	2.61E-04	1.45E-03
establishment or maintenance of bipolar cell polarity (GO:0061245)	33	13	4.58	+	2.84	2.61E-04	1.45E-03
locomotor rhythm (GO:0045475)	61	24	8.47	+	2.83	7.62E-07	7.38E-06
endosome organization (GO:0007032)	28	11	3.89	+	2.83	7.95E-04	4.00E-03
axonal transport (GO:0098930)	28	11	3.89	+	2.83	7.95E-04	4.00E-03
regulation of growth (GO:0040008)	306	120	42.51	+	2.82	1.07E-28	4.30E-27
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	23	9	3.20	+	2.82	2.45E-03	1.07E-02
hormone biosynthetic process (GO:0042446)	23	9	3.20	+	2.82	2.45E-03	1.07E-02
apical constriction (GO:0003383)	23	9	3.20	+	2.82	2.45E-03	1.07E-02
phagocytosis (GO:0006909)	46	18	6.39	+	2.82	1.99E-05	1.43E-04
positive regulation of multicellular organismal process (GO:0051240)	202	79	28.06	+	2.82	3.44E-19	8.93E-18
regulation of DNA metabolic process (GO:0051052)	64	25	8.89	+	2.81	5.29E-07	5.25E-06
negative regulation of growth (GO:0045926)	105	41	14.59	+	2.81	1.36E-10	1.91E-09
regulation of small molecule metabolic process (GO:0062012)	41	16	5.70	+	2.81	5.95E-05	3.87E-04
photoreceptor cell maintenance (GO:0045494)	18	7	2.50	+	2.80	7.73E-03	2.95E-02
male germ-line stem cell population maintenance (GO:0036098)	18	7	2.50	+	2.80	7.73E-03	2.95E-02
synaptic vesicle docking (GO:0016081)	18	7	2.50	+	2.80	7.73E-03	2.95E-02
regulation of opsin-mediated signaling pathway (GO:0022400)	18	7	2.50	+	2.80	7.73E-03	2.95E-02
positive regulation of growth (GO:0045927)	126	49	17.50	+	2.80	2.60E-12	4.21E-11
RNA localization (GO:0006403)	152	59	21.12	+	2.79	1.70E-14	3.26E-13
chromosome segregation (GO:0007059)	183	71	25.42	+	2.79	3.70E-17	8.84E-16
regulation of cytoskeleton organization (GO:0051493)	165	64	22.92	+	2.79	1.36E-15	2.85E-14
ADP metabolic process (GO:0046031)	31	12	4.31	+	2.79	5.42E-04	2.79E-03
purine ribonucleoside diphosphate metabolic process (GO:0009179)	31	12	4.31	+	2.79	5.42E-04	2.79E-03
nucleoside triphosphate biosynthetic process (GO:0009142)	31	12	4.31	+	2.79	5.42E-04	2.78E-03
purine nucleoside diphosphate metabolic process (GO:0009135)	31	12	4.31	+	2.79	5.42E-04	2.78E-03
positive regulation of antibacterial peptide production (GO:0002803)	31	12	4.31	+	2.79	5.42E-04	2.78E-03
positive regulation of antibacterial peptide biosynthetic process (GO:0006963)	31	12	4.31	+	2.79	5.42E-04	2.78E-03
negative regulation of neuromuscular junction development (GO:1904397)	44	17	6.11	+	2.78	4.09E-05	2.78E-04
positive regulation of cellular component organization (GO:0051130)	277	107	38.48	+	2.78	4.65E-25	1.58E-23
regulation of protein localization (GO:0032880)	101	39	14.03	+	2.78	5.62E-10	7.43E-09
nucleoside triphosphate metabolic process (GO:0009141)	70	27	9.72	+	2.78	2.54E-07	2.56E-06
adult behavior (GO:0030534)	153	59	21.25	+	2.78	2.39E-14	4.51E-13
regulation of smoothened signaling pathway (GO:0008589)	83	32	11.53	+	2.78	2.04E-08	2.29E-07
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	26	10	3.61	+	2.77	1.66E-03	7.65E-03
epigenetic regulation of gene expression (GO:0040029)	143	55	19.87	+	2.77	2.06E-13	3.63E-12
multicellular organismal reproductive process (GO:0048609)	1103	423	153.23	+	2.76	6.41E-101	1.97E-98
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	47	18	6.53	+	2.76	2.81E-05	1.97E-04
regulation of insulin receptor signaling pathway (GO:0046626)	47	18	6.53	+	2.76	2.81E-05	1.97E-04
negative regulation of response to external stimulus (GO:0032102)	94	36	13.06	+	2.76	3.33E-09	4.13E-08
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	89	34	12.36	+	2.75	9.76E-09	1.15E-07
small GTPase-mediated signal transduction (GO:0007264)	105	40	14.59	+	2.74	5.45E-10	7.26E-09
aromatic amino acid metabolic process (GO:0009072)	21	8	2.92	+	2.74	5.16E-03	2.02E-02
chitin metabolic process (GO:0006030)	21	8	2.92	+	2.74	5.16E-03	2.01E-02
negative regulation of G protein-coupled receptor signaling pathway (GO:0045744)	21	8	2.92	+	2.74	5.16E-03	2.01E-02
negative regulation of RNA biosynthetic process (GO:1902679)	297	113	41.26	+	2.74	9.54E-26	3.37E-24
negative regulation of DNA-templated transcription (GO:0045892)	297	113	41.26	+	2.74	9.54E-26	3.36E-24
olfactory behavior (GO:0042048)	71	27	9.86	+	2.74	3.56E-07	3.56E-06
regulation of synapse assembly (GO:0051963)	121	46	16.81	+	2.74	3.05E-11	4.58E-10
positive regulation of protein phosphorylation (GO:0001934)	29	11	4.03	+	2.73	1.12E-03	5.48E-03
biogenic amine metabolic process (GO:0006576)	29	11	4.03	+	2.73	1.12E-03	5.48E-03
mitotic DNA integrity checkpoint signaling (GO:0044774)	29	11	4.03	+	2.73	1.12E-03	5.48E-03
regulation of reproductive process (GO:2000241)	58	22	8.06	+	2.73	4.48E-06	3.70E-05
regulation of lipid localization (GO:1905952)	29	11	4.03	+	2.73	1.12E-03	5.47E-03
response to ionizing radiation (GO:0010212)	29	11	4.03	+	2.73	1.12E-03	5.47E-03
chaperone cofactor-dependent protein refolding (GO:0051085)	29	11	4.03	+	2.73	1.12E-03	5.47E-03
'de novo' post-translational protein folding (GO:0051084)	29	11	4.03	+	2.73	1.12E-03	5.46E-03
regulation of immune system process (GO:0002682)	256	97	35.56	+	2.73	4.23E-22	1.24E-20
negative regulation of cellular catabolic process (GO:0031330)	37	14	5.14	+	2.72	2.51E-04	1.41E-03
pigment metabolic process (GO:0042440)	98	37	13.61	+	2.72	3.21E-09	3.99E-08
positive regulation of transcription by RNA polymerase II (GO:0045944)	334	126	46.40	+	2.72	3.41E-28	1.33E-26
cellular response to environmental stimulus (GO:0104004)	69	26	9.59	+	2.71	7.19E-07	6.98E-06
cellular response to abiotic stimulus (GO:0071214)	69	26	9.59	+	2.71	7.19E-07	6.97E-06
response to hormone (GO:0009725)	77	29	10.70	+	2.71	1.69E-07	1.74E-06
negative regulation of RNA metabolic process (GO:0051253)	311	117	43.20	+	2.71	4.04E-26	1.44E-24
negative regulation of programmed cell death (GO:0043069)	125	47	17.36	+	2.71	2.93E-11	4.42E-10
NADH regeneration (GO:0006735)	24	9	3.33	+	2.70	3.45E-03	1.43E-02
negative regulation of cell cycle G2/M phase transition (GO:1902750)	24	9	3.33	+	2.70	3.45E-03	1.43E-02
glucose catabolic process to pyruvate (GO:0061718)	24	9	3.33	+	2.70	3.45E-03	1.43E-02
canonical glycolysis (GO:0061621)	24	9	3.33	+	2.70	3.45E-03	1.43E-02
nicotinamide nucleotide metabolic process (GO:0046496)	56	21	7.78	+	2.70	9.06E-06	7.14E-05
tight junction organization (GO:0120193)	40	15	5.56	+	2.70	1.71E-04	1.00E-03
tight junction assembly (GO:0120192)	40	15	5.56	+	2.70	1.71E-04	1.00E-03
regulation of neuron apoptotic process (GO:0043523)	32	12	4.45	+	2.70	7.58E-04	3.85E-03
actin-mediated cell contraction (GO:0070252)	24	9	3.33	+	2.70	3.45E-03	1.43E-02
pyridine nucleotide metabolic process (GO:0019362)	56	21	7.78	+	2.70	9.06E-06	7.13E-05
multicellular organism development (GO:0007275)	2057	771	285.76	+	2.70	9.75E-196	2.39E-192
phosphorylation (GO:0016310)	155	58	21.53	+	2.69	1.83E-13	3.25E-12
heterochromatin formation (GO:0031507)	99	37	13.75	+	2.69	4.45E-09	5.45E-08
mitotic sister chromatid segregation (GO:0000070)	91	34	12.64	+	2.69	1.89E-08	2.12E-07
response to decreased oxygen levels (GO:0036293)	67	25	9.31	+	2.69	1.45E-06	1.32E-05
regulation of actin filament length (GO:0030832)	59	22	8.20	+	2.68	6.21E-06	5.06E-05
regulation of cellular component biogenesis (GO:0044087)	298	111	41.40	+	2.68	2.06E-24	6.79E-23
response to radiation (GO:0009314)	172	64	23.89	+	2.68	1.40E-14	2.72E-13
regulation of multicellular organism growth (GO:0040014)	43	16	5.97	+	2.68	1.16E-04	7.20E-04
negative regulation of cellular response to growth factor stimulus (GO:0090288)	43	16	5.97	+	2.68	1.16E-04	7.19E-04
regulation of actin filament organization (GO:0110053)	78	29	10.84	+	2.68	2.34E-07	2.36E-06
chromosome organization (GO:0051276)	269	100	37.37	+	2.68	5.01E-22	1.44E-20
regulation of synaptic assembly at neuromuscular junction (GO:0008582)	113	42	15.70	+	2.68	4.99E-10	6.67E-09
cellular response to hormone stimulus (GO:0032870)	70	26	9.72	+	2.67	9.94E-07	9.22E-06
nucleoside diphosphate metabolic process (GO:0009132)	35	13	4.86	+	2.67	5.13E-04	2.65E-03
imaginal disc fusion, thorax closure (GO:0046529)	35	13	4.86	+	2.67	5.13E-04	2.65E-03
imaginal disc fusion (GO:0046528)	35	13	4.86	+	2.67	5.13E-04	2.65E-03
negative regulation of response to biotic stimulus (GO:0002832)	70	26	9.72	+	2.67	9.94E-07	9.21E-06
rhythmic behavior (GO:0007622)	70	26	9.72	+	2.67	9.94E-07	9.20E-06
mitotic nuclear division (GO:0140014)	97	36	13.48	+	2.67	8.92E-09	1.06E-07
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	332	123	46.12	+	2.67	1.06E-26	3.95E-25
regulation of presynapse organization (GO:0099174)	27	10	3.75	+	2.67	2.31E-03	1.01E-02
positive regulation of DNA metabolic process (GO:0051054)	27	10	3.75	+	2.67	2.31E-03	1.01E-02
regulation of Wnt signaling pathway (GO:0030111)	100	37	13.89	+	2.66	6.13E-09	7.37E-08
negative regulation of immune system process (GO:0002683)	100	37	13.89	+	2.66	6.13E-09	7.36E-08
establishment of organelle localization (GO:0051656)	165	61	22.92	+	2.66	8.19E-14	1.49E-12
neuron remodeling (GO:0016322)	46	17	6.39	+	2.66	7.92E-05	5.07E-04
sister chromatid segregation (GO:0000819)	92	34	12.78	+	2.66	2.60E-08	2.87E-07
chromosome organization involved in meiotic cell cycle (GO:0070192)	46	17	6.39	+	2.66	7.92E-05	5.06E-04
negative regulation of gene expression, epigenetic (GO:0045814)	103	38	14.31	+	2.66	4.21E-09	5.17E-08
protein targeting to vacuole (GO:0006623)	19	7	2.64	+	2.65	1.08E-02	3.90E-02
positive regulation of insulin receptor signaling pathway (GO:0046628)	19	7	2.64	+	2.65	1.08E-02	3.90E-02
cellular response to alcohol (GO:0097306)	19	7	2.64	+	2.65	1.08E-02	3.90E-02
positive regulation of cellular response to insulin stimulus (GO:1900078)	19	7	2.64	+	2.65	1.08E-02	3.90E-02
muscle contraction (GO:0006936)	19	7	2.64	+	2.65	1.08E-02	3.89E-02
photoreceptor cell development (GO:0042461)	106	39	14.73	+	2.65	2.89E-09	3.60E-08
circadian behavior (GO:0048512)	68	25	9.45	+	2.65	1.99E-06	1.78E-05
cytoplasmic translation (GO:0002181)	117	43	16.25	+	2.65	4.70E-10	6.31E-09
cell junction assembly (GO:0034329)	117	43	16.25	+	2.65	4.70E-10	6.30E-09
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	30	11	4.17	+	2.64	1.55E-03	7.35E-03
cell-cell junction assembly (GO:0007043)	60	22	8.34	+	2.64	8.53E-06	6.73E-05
regulation of Toll signaling pathway (GO:0008592)	30	11	4.17	+	2.64	1.55E-03	7.35E-03
telomere maintenance (GO:0000723)	30	11	4.17	+	2.64	1.55E-03	7.35E-03
response to reactive oxygen species (GO:0000302)	30	11	4.17	+	2.64	1.55E-03	7.34E-03
response to light stimulus (GO:0009416)	142	52	19.73	+	2.64	8.52E-12	1.33E-10
positive regulation of cell size (GO:0045793)	41	15	5.70	+	2.63	2.35E-04	1.33E-03
supramolecular fiber organization (GO:0097435)	211	77	29.31	+	2.63	1.03E-16	2.37E-15
regulation of actin filament polymerization (GO:0030833)	55	20	7.64	+	2.62	2.50E-05	1.77E-04
negative regulation of transcription by RNA polymerase II (GO:0000122)	209	76	29.03	+	2.62	2.05E-16	4.61E-15
cellular response to peptide hormone stimulus (GO:0071375)	44	16	6.11	+	2.62	1.59E-04	9.41E-04
response to oxygen-containing compound (GO:1901700)	286	104	39.73	+	2.62	5.22E-22	1.49E-20
memory (GO:0007613)	121	44	16.81	+	2.62	4.40E-10	5.96E-09
negative regulation of neuron apoptotic process (GO:0043524)	22	8	3.06	+	2.62	7.14E-03	2.73E-02
